crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1401,5,0.2182199664,-0.1411337134,-0.1216556486,0.1937588139,-0.373348554,-0.009313556,-0.3422298047,-0.3885772992,-0.3746798839,-0.1039959978,0.035193243,0.1441544134,-0.3376475158,0.1072429188,-0.2799258148,-0.4114351791,0.2497432164,-0.1548287421,0.0024616976,0.3905265892,0.2495523345,-0.0820119773,0.0200609465,0.4790460675,-0.0581865909,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
1402,5,0.2182194945,-0.3353780993,-0.2435248934,0.0932267251,0.1677534569,-0.0141723989,0.3942369783,0.2678792614,0.0078418416,-0.034110731,-0.1157797306,-0.0538789415,-0.2327946862,0.100910379,-0.4792160021,-0.2724702684,-0.4749039604,0.3433768991,0.0742162986,0.1583947086,-0.3737935064,0.1471255377,-0.1044060084,0.3146137835,0.3030894992,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1
1403,4,0.2182102287,-0.199362579,-0.25808977,-0.0087794425,-0.0339440339,0.213140835,0.3025473715,0.082700864,0.3571889688,-0.2332236555,0.1145854818,-0.0776436725,-0.2523746762,0.1686015106,-0.2347101981,0.2247128292,-0.2714535676,0.1691639016,-0.0609331192,0.4290499125,-0.4867669703,-0.0183855663,0.3865065903,0.1430848029,0.2088657765,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1
1404,6,0.2182067411,-0.1120541884,-0.2558939842,-0.2797486279,0.1496293951,0.2907631,-0.1442228969,-0.2849826051,0.3235479814,-0.1664554937,-0.2802179792,-0.4240580385,0.1895379118,0.154394115,-0.4568420785,0.2117699109,0.26348584,-0.1279833104,-0.0979100346,-0.3940765185,-0.0053124454,0.1432228085,-0.0185365391,0.1225974319,0.3250620633,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1
1405,4,0.2181834281,0.4125487427,-0.2064873643,0.2356424371,0.2206861574,-0.3305465679,-0.185461449,-0.0450101145,-0.109792815,0.2169159506,0.203998721,0.1392160201,-0.1352357212,-0.0787420463,-0.1741302161,-0.5131391739,-0.2969254752,-0.3923136434,-0.2045812107,-0.1749641762,0.2670193564,0.0393193219,-0.4553161379,-0.0162667578,-0.359232984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1406,3,0.2181775308,0.0471250534,-0.1266069149,-0.1614918758,-0.3767537425,0.1766734599,0.1146291956,0.1028340576,0.0719964114,0.3833320981,0.2309271393,0.3657128889,0.0871420429,-0.1762523681,0.1966945705,-0.3511874656,0.4638804147,-0.0231352935,-0.239044001,-0.1622157961,-0.4501164216,0.0432610181,-0.2620496122,-0.1660769708,0.3591099606,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
1407,3,0.2181762034,0.1213792258,0.0072943887,0.288140913,-0.4451615043,-0.0158324276,-0.2725097377,-0.3066864278,-0.0758161561,0.3041364257,0.2193821287,0.4551550737,0.0315001685,-0.0927712407,0.2112864378,-0.1515074414,-0.3819479496,0.326961656,0.1541058946,-0.2259525835,-0.3195572683,-0.0486747695,0.1649561054,-0.1394517332,-0.1204787807,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
1408,4,0.2181755509,-0.244706786,0.2602249972,0.0994397158,-0.3357778899,-0.0728770659,-0.1673024158,-0.0494349607,-0.2132384989,0.4156550951,0.1575704765,0.0888052975,0.1783355255,0.0308000204,0.1945950531,-0.3669828638,0.2745698224,0.4898480632,0.052327045,-0.0917728961,-0.4345927368,-0.1723640852,0.234057933,-0.1445298212,-0.1823675213,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
1409,4,0.2181679554,-0.3002534986,-0.1631446717,0.0386185912,0.2114937095,-0.330972356,-0.0840323137,-0.2711173132,0.042757051,-0.3449758856,0.1710508795,0.1308015697,-0.2849420824,0.227857045,0.043792812,0.1388406034,0.4998297962,0.3765138993,0.0632328802,-0.1116941124,0.2964058503,0.2450516197,-0.135716188,0.4200848281,-0.1726990415,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1410,2,0.2181665757,0.0983616189,-0.1220078083,-0.0152209613,0.3010709855,-0.0408609222,-0.4379412985,0.0521103356,0.3373333479,-0.0662882816,-0.4155264411,0.08079601,0.2510350635,-0.4174072767,0.166376344,-0.1768189863,-0.0903017022,0.0668341568,0.5415872188,0.2164947378,0.299295249,0.336101443,-0.0775296973,0.1756934646,-0.4502838924,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1411,2,0.2181614661,-0.3081949875,0.3575485417,0.075762743,0.0964267612,0.1631401209,-0.1124982757,-0.0505621446,-0.3012553986,0.340653412,0.1086442967,0.2942075612,0.3034942231,0.485167553,-0.2636835996,0.0108507195,-0.2680917701,0.0717939902,0.4030451431,-0.0911653045,-0.2300286945,-0.0878974498,0.3237431695,-0.0792135551,0.3718087118,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
1412,4,0.2181612491,-0.309746948,0.0550163824,0.2700189175,0.0098993997,-0.2435199708,0.0638391868,-0.084117937,0.2712237259,-0.2511857092,0.2087115784,-0.0107148392,-0.4751303854,0.0151334244,-0.0735729705,0.5313517407,-0.2242587323,-0.0585313002,-0.5001827029,-0.3825308229,-0.15531947,-0.1052658533,0.2619066287,0.0924261317,-0.0545242165,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1
1413,5,0.2181549275,-0.4220026101,-0.0567072936,-0.0862130452,-0.2276165363,0.3890499457,-0.1668915017,0.2817804723,0.236405769,0.2763556239,-0.0758332904,0.0097780471,0.1709110321,-0.086200232,-0.4789870299,0.224201171,0.1992316631,-0.265035954,-0.0270354903,0.0333763301,0.0556066027,-0.2720796677,0.3396018003,0.3387052365,-0.1438321943,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1
1414,4,0.2181516629,-0.0703605022,0.1859687986,-0.3002824596,0.0942635105,0.2770373158,0.1559253022,-0.1254554071,-0.0972561008,0.1113312716,0.1740179988,-0.1649818623,-0.2138337809,-0.1962183887,-0.4138324411,-0.1804436646,-0.0007999795,-0.3848741744,0.4148069054,0.4090328412,-0.4653273757,-0.0018875886,-0.4933727295,0.1350444752,0.1434852495,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1
1415,4,0.2181440955,0.431234231,-0.0888855101,0.0304345128,-0.0442569258,-0.0132360749,0.1597190387,0.1742554028,-0.0581543799,-0.4202496415,-0.1989911653,0.1683890081,-0.2055439213,0.068572219,-0.4344894578,0.1469692523,-0.0295893424,-0.4166099949,-0.277756563,0.0649685356,0.0267832477,0.5802135546,0.2199437714,0.2597596621,-0.1249690623,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
